tamaño,accuracy,precision,recall,f1_score
3240,0.9083333333333333,0.9114868823705032,0.9026295604570229,0.9046003152051767
3330,0.9135135135135135,0.9174627990513644,0.9138940092165899,0.9130846554515337
3420,0.9026315789473685,0.9041746918958499,0.9045401080693795,0.9010430243733637
3510,0.9025641025641026,0.9045478315228479,0.9045714182632787,0.900946719709558
3600,0.9175,0.9195265934182721,0.9174622554167551,0.916231713799038
3690,0.9048780487804878,0.9050794180077764,0.905125633561456,0.9028281368393032
3780,0.9238095238095239,0.9230486472228294,0.9226150506717093,0.9216368926323162
3870,0.9209302325581395,0.9223528613563033,0.9177223207844651,0.918637423345596
3960,0.9295454545454546,0.9268939199404309,0.9243543601596894,0.9246928787170299
4050,0.9355555555555556,0.9355307135833412,0.9317538099943125,0.9326676249607528
4140,0.9456521739130435,0.9441090113713656,0.9397480142355918,0.9410634650081663
4230,0.9574468085106383,0.9574392048788978,0.9571065935612975,0.9568132726733808
4320,0.9541666666666667,0.954598031539423,0.9546193253814899,0.9539624308015726
4410,0.9448979591836735,0.9471904672416647,0.9467821760295673,0.9461299195864681
4500,0.942,0.9435423941138227,0.9439102586451069,0.9431257283108024
4590,0.9392156862745098,0.9421189788784101,0.938543108187871,0.9394974043332036
4680,0.9326923076923077,0.9342249251102283,0.9307813007742904,0.9314994335011619
4770,0.9339622641509434,0.9359816675820414,0.9323784711768207,0.9331596655476261
4860,0.9314814814814815,0.933216479853358,0.9309766779628381,0.9311266657206035
4950,0.9309090909090909,0.9322672321830817,0.9328883873772827,0.9317407465271577
5040,0.9303571428571429,0.9346143883312511,0.93392947958246,0.9331557839895103
5130,0.9333333333333333,0.9365419539420179,0.936734108052964,0.9355260140723555
5220,0.9327586206896552,0.9353157456473242,0.9357977580556665,0.9345619832842844
5310,0.9305084745762712,0.9334835735922693,0.9332733224001682,0.9323902571220823
5400,0.945,0.9485279196687528,0.9460563194755419,0.946817523444218
5490,0.9491803278688524,0.9511925940417374,0.9475251881090155,0.9487592555698082
5580,0.95,0.9528255356380647,0.9485816734938606,0.9499019604335478
5670,0.9444444444444444,0.9465608052572332,0.9429020444069509,0.9437768249084282
5760,0.95,0.9524901978669424,0.949542181076664,0.9502885117017126
5850,0.9492307692307692,0.9516100069148813,0.9462995712947517,0.9480088098062167
5940,0.9454545454545454,0.9479146897789092,0.9448128933735589,0.9456147164390956
6030,0.9402985074626866,0.9436712835311425,0.9387590517468013,0.9403864365326084
6120,0.9397058823529412,0.9423455785388061,0.9382287063951178,0.9397193586339517
6210,0.9405797101449276,0.9428138813438615,0.9390415042810846,0.9403928161754068
6300,0.9485714285714286,0.9513678921117282,0.9484164708881359,0.9495528913020408
6390,0.9492957746478873,0.9529678779227254,0.9490304546490748,0.9501887616742077
6480,0.9444444444444444,0.9499372934388381,0.9438005065001078,0.9458802703425775
6570,0.9424657534246575,0.9481428594580399,0.9409218821946409,0.9432094021149112
6660,0.9459459459459459,0.9506129591763406,0.944495987116303,0.9464247431832924
6750,0.94,0.945135502270006,0.9389678664684856,0.9404133069577169
6840,0.9302631578947368,0.9345851205874297,0.9295725829905293,0.9300009350338824
6930,0.9272727272727272,0.9316311519809359,0.9258272565173211,0.9265218406740041
7020,0.9230769230769231,0.9270347379420988,0.9223078180008841,0.9227275695618811
7110,0.9227848101265823,0.925878045675525,0.9225706862773959,0.9227115968354628
7200,0.925,0.9273253947736656,0.9242263767677119,0.9245399403546115
7290,0.9259259259259259,0.9268877207202275,0.9264460045429781,0.9257629802047213
7380,0.9317073170731708,0.9321779903303336,0.9325846580928483,0.9316881425203343
7470,0.9313253012048193,0.9317203048795266,0.9318748037369542,0.9312303774118522
7560,0.9416666666666667,0.9419836732124989,0.9422649445305682,0.9414863429415588
7650,0.951764705882353,0.9521575291343831,0.95203041239738,0.9516623589533684
7740,0.9558139534883721,0.955861372290881,0.9554870382257249,0.9552839758237244
7830,0.9563218390804598,0.9565097099132904,0.955743981664147,0.9557859313186988
7920,0.9613636363636363,0.9617239766825099,0.9605927834950923,0.9608908583938236
8010,0.9584269662921349,0.9592456648811762,0.9573699123283349,0.9579312202035204
8100,0.96,0.9608008276130114,0.9587263219181288,0.9594149838121652
8190,0.9582417582417583,0.9588834610386101,0.957107875744088,0.9576055687112565
8280,0.9630434782608696,0.9634339726605807,0.9622607906463154,0.9625315039149445
8370,0.9602150537634409,0.96024346598973,0.9587377290911743,0.9591350439141728
8460,0.9617021276595744,0.9621400072456503,0.9605152382453538,0.960989166591569
8550,0.96,0.9605214224233819,0.9579272138248982,0.9588477358659734
8640,0.9604166666666667,0.9613353121694809,0.9580164405859198,0.9592109563459117
8730,0.9567010309278351,0.957879665154634,0.9553839129875344,0.9560558715443985
8820,0.9510204081632653,0.9523162566782304,0.949814682578816,0.950387597766919
8910,0.9545454545454546,0.955850917328769,0.9536338025895661,0.9540902732217242
9000,0.955,0.955817142553044,0.9542337427013425,0.9545217841988676
