tamaño,accuracy,precision,recall,f1_score
7470,0.9421686746987952,0.9425121526385689,0.943439398405627,0.9422661392092699
7560,0.9488095238095238,0.9494286311654887,0.9500663382587913,0.9491204329525724
7650,0.9529411764705882,0.9537954267706288,0.9534404542066275,0.9530576124246002
7740,0.9569767441860465,0.9571716879436309,0.9571733536874234,0.9567341589551861
7830,0.957471264367816,0.9582162818745921,0.9572473921497601,0.9571666019803459
7920,0.9636363636363636,0.9648214637203006,0.9629865217981923,0.9632567909782577
8010,0.9561797752808989,0.957241957580856,0.9555345152947264,0.9558894416854313
8100,0.9533333333333334,0.9536960844307307,0.9522711903394345,0.9526189385490218
8190,0.9527472527472527,0.9526940235739095,0.9515613655339863,0.9517558155264139
8280,0.9586956521739131,0.9582688369443678,0.9574883731643092,0.9577279866301536
8370,0.9580645161290322,0.9572812088292135,0.9562882426331198,0.9566328521358762
8460,0.9574468085106383,0.9571020252320593,0.9564283146966206,0.9566242299768897
8550,0.9568421052631579,0.9559364075633925,0.9552453375912977,0.955470667480172
8640,0.95625,0.9555637153063963,0.954413845010565,0.9548186894176254
8730,0.9525773195876288,0.9526607927436757,0.9513570965288555,0.9517584012058338
8820,0.9551020408163265,0.9558070832902743,0.9540457049570522,0.9546426033442696
8910,0.9626262626262626,0.9633433969238248,0.961942203066182,0.962451677283308
9000,0.964,0.9641536354001167,0.9639422012511991,0.963925797464175
